Altium Designer Pick and Place Locations
C:\git\suntile\Project Outputs for suntile\Pick Place for suntile.csv

========================================================================================================================
File Design Information:

Date:       10/06/22
Time:       11:36
Revision:   f38def90c335b8a5e23110f2d2012be498e49179
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"Q9_4","2N7002","TopLayer","TO-236AB","176.5000","133.5000","90","Q - TRANSISTOR - MOSFET (N) - 60V - 200mW","176.5000","133.5000","175.5500","132.3500"
"Q9_3","2N7002","TopLayer","TO-236AB","176.5000","130.0000","90","Q - TRANSISTOR - MOSFET (N) - 60V - 200mW","176.5000","130.0000","175.5500","128.8500"
"Q9_2","2N7002","TopLayer","TO-236AB","176.5000","140.5000","270","Q - TRANSISTOR - MOSFET (N) - 60V - 200mW","176.5000","140.5000","177.4500","141.6500"
"Q9_1","2N7002","TopLayer","TO-236AB","176.5000","137.0000","90","Q - TRANSISTOR - MOSFET (N) - 60V - 200mW","176.5000","137.0000","175.5500","135.8500"
"C9_10","CL05A106MQ5NUNC","TopLayer","C_0402","176.5000","152.5000","180","C - CAPACITOR - MLCC - 10uF - 6.3V - 0402","176.5000","152.5000","177.0080","152.5000"
"C9_9","CL05A106MQ5NUNC","TopLayer","C_0402","176.5000","151.5000","180","C - CAPACITOR - MLCC - 10uF - 6.3V - 0402","176.5000","151.5000","177.0080","151.5000"
"C9_8","CL05A106MQ5NUNC","TopLayer","C_0402","176.5000","150.5000","180","C - CAPACITOR - MLCC - 10uF - 6.3V - 0402","176.5000","150.5000","177.0080","150.5000"
"C9_7","CL05A106MQ5NUNC","TopLayer","C_0402","176.5000","149.5000","180","C - CAPACITOR - MLCC - 10uF - 6.3V - 0402","176.5000","149.5000","177.0080","149.5000"
"C9_6","CL05A106MQ5NUNC","TopLayer","C_0402","176.5000","148.5000","180","C - CAPACITOR - MLCC - 10uF - 6.3V - 0402","176.5000","148.5000","177.0080","148.5000"
"C9_5","CL05A106MQ5NUNC","TopLayer","C_0402","176.5000","147.5000","180","C - CAPACITOR - MLCC - 10uF - 6.3V - 0402","176.5000","147.5000","177.0080","147.5000"
"C9_4","CL05A106MQ5NUNC","TopLayer","C_0402","176.5000","146.5000","180","C - CAPACITOR - MLCC - 10uF - 6.3V - 0402","176.5000","146.5000","177.0080","146.5000"
"C9_3","CL05A106MQ5NUNC","TopLayer","C_0402","176.5000","145.5000","180","C - CAPACITOR - MLCC - 10uF - 6.3V - 0402","176.5000","145.5000","177.0080","145.5000"
